,Landmark name,Image,Date designated,Location,Description
1,African Meeting House,African Meeting House More images,"May 30, 1974
(#71000087)","8 Smith Ct
Beacon Hill
 42°21′36″N 71°03′56″W﻿ / ﻿42.3599°N 71.0655°W﻿ / 42.3599; -71.0655﻿ (African Meeting House)","Also known as the First African Baptist Church, it was built in 1806 and is now the oldest black church edifice still standing in the United States."
2,Nathan Appleton Residence,Nathan Appleton Residence More images,"December 22, 1977
(#77001541)","39–40 Beacon Street
Beacon Hill
 42°21′25″N 71°03′59″W﻿ / ﻿42.3569°N 71.0663°W﻿ / 42.3569; -71.0663﻿ (Nathan Appleton Residence)","Residence of Nathan Appleton, a businessman involved in expanding the textile industry. His son-in-law was Henry Wadsworth Longfellow, who married Appleton's daughter Fanny in this house."
3,Arnold Arboretum,Arnold Arboretum More images,"January 12, 1965
(#66000127)","Jamaica Plain
 42°17′52″N 71°07′22″W﻿ / ﻿42.2978°N 71.1228°W﻿ / 42.2978; -71.1228﻿ (Arnold Arboretum)","Harvard University-owned arboretum, founded in 1872 and designed by Frederick Law Olmsted."
4,Frederick Ayer Mansion,Frederick Ayer Mansion More images,"April 5, 2005
(#05000459)","395 Commonwealth Ave.
Back Bay
 42°20′57″N 71°05′25″W﻿ / ﻿42.3493°N 71.0903°W﻿ / 42.3493; -71.0903﻿ (Frederick Ayer Mansion)","The home of textile businessman Frederick Ayer, its interior is one of few designed by Louis Comfort Tiffany, and its exterior has the only surviving instance of an outside mosaic by Tiffany."
5,Beacon Hill Historic District,Beacon Hill Historic District More images,"December 29, 1962
(#66000130)","Beacon Hill
 42°21′30″N 71°03′58″W﻿ / ﻿42.3583°N 71.0661°W﻿ / 42.3583; -71.0661﻿ (Beacon Hill Historic District)","This architecturally significant neighborhood includes buildings designed by Charles Bulfinch, and has been home to many famous people, including nationally prominent politicians, businessmen, and academics."
6,Boston Athenaeum,Boston Athenaeum More images,"December 21, 1965
(#66000132)","10 1/2 Beacon Street
Beacon Hill
 42°21′30″N 71°03′43″W﻿ / ﻿42.3582°N 71.0620°W﻿ / 42.3582; -71.0620﻿ (Boston Athenaeum)","Home of one of the nation's oldest and largest independent private libraries, this building was designed by Edward Clarke Cabot."
7,Boston Common,Boston Common More images,"February 27, 1987
(#87000760)","Beacon Hill
 42°21′18″N 71°03′56″W﻿ / ﻿42.355°N 71.0656°W﻿ / 42.355; -71.0656﻿ (Boston Common)","Established in 1634, the Common is the nation's oldest public park."
8,Boston Light,Boston Light More images,"January 29, 1964
(#66000133)","Little Brewster Island
Boston Harbor
 42°19′40″N 70°53′24″W﻿ / ﻿42.3279°N 70.8900°W﻿ / 42.3279; -70.8900﻿ (Boston Light)","The nation's second oldest standing lighthouse, Boston Light was built on the site of the first lighthouse in what is now the United States. It is the only lighthouse permanently staffed by the United States Coast Guard."
9,Boston Naval Shipyard,Boston Naval Shipyard More images,"November 13, 1966
(#66000134)","Charlestown
 42°22′26″N 71°03′23″W﻿ / ﻿42.3738°N 71.0565°W﻿ / 42.3738; -71.0565﻿ (Boston Naval Shipyard)","One of the USA's oldest shipyards, this shipyard is home to two NHL ships (USS Constitution and USS Cassin Young), and has the only surviving ropewalk that has not been moved or significantly altered."
10,Boston Public Garden,Boston Public Garden More images,"February 27, 1987
(#87000761)","Back Bay
 42°21′15″N 71°04′12″W﻿ / ﻿42.3541°N 71.0699°W﻿ / 42.3541; -71.0699﻿ (Boston Public Garden)","The nation's first public botanical garden, it was laid out in the French Second Empire style in the 1860s."
11,Boston Public Library,Boston Public Library More images,"February 24, 1986
(#73000317)","230 Dartmouth Street
Back Bay
 42°20′59″N 71°04′39″W﻿ / ﻿42.3496°N 71.0776°W﻿ / 42.3496; -71.0776﻿ (Boston Public Library)","Built in the 1880s to a design by Charles Follen McKim inspired by similar European institutions, this building features murals by John Singer Sargent and Bates Hall, its large and light-filled reading room."
12,Brook Farm,Brook Farm More images,"July 23, 1965
(#66000141)","670 Baker Street
West Roxbury
 42°17′29″N 71°10′27″W﻿ / ﻿42.2914°N 71.1741°W﻿ / 42.2914; -71.1741﻿ (Brook Farm)",Site of an experimental utopian community based on Transcendentalist and Unitarian thought.
13,Bunker Hill Monument,Bunker Hill Monument More images,"January 20, 1961
(#66000138)","Charlestown
 42°22′35″N 71°03′39″W﻿ / ﻿42.3763°N 71.0608°W﻿ / 42.3763; -71.0608﻿ (Bunker Hill Monument)","This monument, built in the mid-19th century, stands atop Breed's Hill, site of most of the fighting in the 1775 Battle of Bunker Hill."
14,USS Cassin Young (destroyer),USS Cassin Young (destroyer) More images,"January 14, 1986
(#86000084)","Boston Navy Yard
Charlestown
 42°22′20″N 71°03′16″W﻿ / ﻿42.3722°N 71.0545°W﻿ / 42.3722; -71.0545﻿ (USS Cassin Young (destroyer))","A Fletcher-class destroyer, USS Cassin Young was a ship of the United States Navy. Launched during the Second World War, she saw action in the Battle of Leyte and the Battle of Okinawa. She received seven battle stars and a Navy Unit Commendation for her war service."
15,Central Congregational Church,Central Congregational Church More images,"October 16, 2012
(#12001012)","67 Newbury Street
Back Bay
 42°21′08″N 71°04′27″W﻿ / ﻿42.3521°N 71.0741°W﻿ / 42.3521; -71.0741﻿ (Central Congregational Church)",This church has the largest intact Tiffany-designed ecclesiastical interior in its original location in America.
16,USS Constitution (frigate),USS Constitution (frigate) More images,"December 19, 1960
(#66000789)","Boston Navy Yard
Charlestown
 42°22′20″N 71°03′20″W﻿ / ﻿42.3721°N 71.0556°W﻿ / 42.3721; -71.0556﻿ (USS Constitution (frigate))","The world's oldest floating commissioned naval vessel. Launched in 1797, she saw action in the Quasi-War and the War of 1812. She later became a training ship, and presently serves as a museum ship. She last sailed under her own power in August, 2012, to commemorate the 200th anniversary of her victory over Guerriere."
17,"Ether Dome, Massachusetts General Hospital","Ether Dome, Massachusetts General Hospital More images","January 12, 1965
(#66000366)","55 Fruit Street
West End
 42°21′49″N 71°04′04″W﻿ / ﻿42.3635°N 71.0679°W﻿ / 42.3635; -71.0679﻿ (Ether Dome, Massachusetts General Hospital)","The operating room of the Massachusetts General Hospital from 1821 to 1867, the Ether Dome was the site of the first public demonstration of the use of ether as an anesthetic."
18,Faneuil Hall,Faneuil Hall More images,"October 9, 1960
(#66000368)","Downtown
 42°21′36″N 71°03′23″W﻿ / ﻿42.3601°N 71.0563°W﻿ / 42.3601; -71.0563﻿ (Faneuil Hall)","Built on the site of a building originally donated by Huguenot merchant Peter Faneuil to the city of Boston, this iconic market building and meeting house was built in the 1760s and expanded in the 19th century by architect Charles Bulfinch. It was the site of many public meetings during the American Revolution."
