,Landmark name,Image,Date designated,Location,County,Description
1,69th Regiment Armory,69th Regiment Armory More images,"June 19, 1996
(#93001538)","Manhattan
 40°44′30″N 73°59′01″W﻿ / ﻿40.741648°N 73.983607°W﻿ / 40.741648; -73.983607﻿ (69th Regiment Armory)",New York,"Home of the watershed Armory Show in 1913, which introduced America to modern art"
2,Admiral David Glasgow Farragut Gravesite,Admiral David Glasgow Farragut Gravesite,"October 17, 2012
(#12001008)","Bronx
 40°53′32″N 73°51′57″W﻿ / ﻿40.892165°N 73.865860°W﻿ / 40.892165; -73.865860﻿ (Admiral David Glasgow Farragut Gravesite)",Bronx,Only intact known property directly associated with Admiral David Farragut
3,African Burial Ground,African Burial Ground More images,"April 19, 1993
(#93001597)","Manhattan
 40°42′52″N 74°00′16″W﻿ / ﻿40.714558°N 74.004384°W﻿ / 40.714558; -74.004384﻿ (African Burial Ground)",New York,"Dedicated as National Monument on October 5, 2007; burial site in Lower Manhattan of over 419 Africans from 1690s to 1794"
4,Ambrose (lightship),Ambrose (lightship) More images,"April 11, 1989
(#84002758)","Manhattan
 40°42′17″N 74°00′09″W﻿ / ﻿40.704844°N 74.002467°W﻿ / 40.704844; -74.002467﻿ (Ambrose (lightship))",New York,"Lightship, several miles offshore, that marked Ambrose Channel into New York Harbor, now at South Street Seaport Museum."
5,American Stock Exchange,American Stock Exchange More images,"June 6, 1978
(#78001867)","Manhattan
 40°42′32″N 74°00′45″W﻿ / ﻿40.7090°N 74.0126°W﻿ / 40.7090; -74.0126﻿ (American Stock Exchange)",New York,Former headquarters of the American Stock Exchange
6,Louis Armstrong House,Louis Armstrong House More images,"May 11, 1976
(#76001265)","Corona
 40°45′16″N 73°51′42″W﻿ / ﻿40.754556°N 73.861557°W﻿ / 40.754556; -73.861557﻿ (Louis Armstrong House)",Queens,Home of jazz legend Louis Armstrong for 28 years
7,Chester A. Arthur House,Chester A. Arthur House More images,"December 12, 1965
(#66000534)","Manhattan
 40°44′34″N 73°58′56″W﻿ / ﻿40.74279°N 73.982196°W﻿ / 40.74279; -73.982196﻿ (Chester A. Arthur House)",New York,Home of President Chester A. Arthur; site of his inaugural oath
8,Alice Austen House,Alice Austen House More images,"April 19, 1993
(#70000925)","Rosebank
 40°36′54″N 74°03′47″W﻿ / ﻿40.615129°N 74.062952°W﻿ / 40.615129; -74.062952﻿ (Alice Austen House)",Richmond,"Home of photographer Alice Austen, now a museum"
9,Bartow–Pell Mansion,Bartow–Pell Mansion More images,"December 8, 1976
(#74001220)","Pelham Bay Park
 40°52′18″N 73°48′20″W﻿ / ﻿40.871748°N 73.805578°W﻿ / 40.871748; -73.805578﻿ (Bartow–Pell Mansion)",Bronx,19th-century mansion in largest New York City park
10,Bayard-Condict Building,Bayard-Condict Building More images,"December 8, 1976
(#76001236)","Manhattan
 40°43′35″N 73°59′44″W﻿ / ﻿40.7263°N 73.9956°W﻿ / 40.7263; -73.9956﻿ (Bayard-Condict Building)",New York,Only Louis Sullivan building in New York City; one of the first steel skeleton skyscrapers.
