#,Name,Image,Address,Date designated,Description
1,Mission Dolores,,320 Dolores Street,"April 11, 1968",37°45′51″N 122°25′36″W﻿ / ﻿37.7642°N 122.4266°W﻿ / 37.7642; -122.4266﻿ (Mission Dolores)
2,Old Saint Mary's Cathedral,,660 California Street,"April 11, 1968",37°47′34″N 122°24′21″W﻿ / ﻿37.79265°N 122.40575°W﻿ / 37.79265; -122.40575﻿ (Old Saint Mary's Cathedral)
3,Bank of California Building,,400 California Street,"September 3, 1968","37°47′36″N 122°24′06″W﻿ / ﻿37.7932°N 122.4016°W﻿ / 37.7932; -122.4016﻿ (Bank of California Building)
Built in 1908, designed by Walter Danforth Bliss and William Baker Faville"
4,Saint Patrick's Church,,756 Mission Street,"September 3, 1968",37°47′08″N 122°24′13″W﻿ / ﻿37.785588°N 122.403508°W﻿ / 37.785588; -122.403508﻿ (Saint Patrick's Church)
5,Saint Francis of Assisi Church,,610 Vallejo Street,"September 3, 1968",37°47′56″N 122°24′28″W﻿ / ﻿37.7988°N 122.4077°W﻿ / 37.7988; -122.4077﻿ (Saint Francis of Assisi Church)
6,Holy Cross Parish Hall (Old St. Patrick's Church),,1820 Eddy Street,"September 3, 1968",37°46′51″N 122°26′16″W﻿ / ﻿37.7808°N 122.4378°W﻿ / 37.7808; -122.4378﻿ (Old Saint Patricks Church)
7,Audiffred Building,,1–21 Mission Street,"October 13, 1968","37°47′36″N 122°23′33″W﻿ / ﻿37.7934°N 122.3926°W﻿ / 37.7934; -122.3926﻿ (Audiffred Building)
Commercial structure built in 1889 in Parisian style"
8,South San Francisco Opera House,,1601 Newcomb Avenue,"December 8, 1968","37°44′07″N 122°23′24″W﻿ / ﻿37.735299°N 122.390026°W﻿ / 37.735299; -122.390026﻿ (South San Francisco Opera House)
Also known as Bayview Opera House; built in 1888"
9,Belli Building (Langerman's Building),,722 Montgomery Street,"February 3, 1969",37°47′46″N 122°24′12″W﻿ / ﻿37.7961°N 122.4033°W﻿ / 37.7961; -122.4033﻿ (Belli Building (Langerman's Building))Formerly owned by Melvin Belli
10,Genella Building (Belli Annex),,728 Montgomery Street,"February 3, 1969",37°47′46″N 122°24′12″W﻿ / ﻿37.7961°N 122.4033°W﻿ / 37.7961; -122.4033﻿ (Genella Building (Belli Annex))
11,Hotaling Stables Building,,32–42 Hotaling Place,"February 3, 1969",
12,Hotaling Building,,451 Jackson Street,"February 3, 1969",37°47′47″N 122°24′10″W﻿ / ﻿37.7964°N 122.4028°W﻿ / 37.7964; -122.4028﻿ (Hotaling Building)
13,Hotaling Annex East,,445 Jackson Street,"February 3, 1969",
14,Medico-Dental Building,,441 Jackson Street,"February 3, 1969",
15,Ghirardelli Building,,407 Jackson Street,"February 3, 1969",
16,Ghirardelli Annex-Jackson Street,,407 Jackson Street,"February 3, 1969",
17,Colonial Dames Octagon House,,2645 Gough Street,"February 3, 1969",37°47′52″N 122°25′39″W﻿ / ﻿37.7978°N 122.4274°W﻿ / 37.7978; -122.4274﻿ (McElroy Octagon House)Also known as the McElroy Octagon House
18,Palace Hotel and Garden Court Room,,2 New Montgomery Street and 633 Market Street,"March 9, 1969",37°47′18″N 122°24′07″W﻿ / ﻿37.788411°N 122.40205°W﻿ / 37.788411; -122.40205﻿ (Palace Hotel and Garden Court Room)
19,Golden Era Building,,732 Montgomery Street,"March 9, 1969",
20,Hotaling Annex West,,463–473 Jackson St.,"March 9, 1969",
21,San Francisco City Hall,,1 Dr. Carlton B. Goodlett Place,"March 13, 1970","37°46′45″N 122°25′09″W﻿ / ﻿37.77919°N 122.41914°W﻿ / 37.77919; -122.41914﻿ (San Francisco City Hall)
Block bounded by Polk and McAllister Streets, Van Ness Avenue and Grove Street"
22,Solari Building (Larco's Building),,470 Jackson Street,"March 16, 1970",
23,Solari Building (Old French Consulate),,472 Jackson Street,"March 16, 1970",37°47′47″N 122°24′11″W﻿ / ﻿37.7965°N 122.4031°W﻿ / 37.7965; -122.4031﻿ (Solari Building (Old French Consulate))
24,Yeon Building (San Francisco),,432 Jackson Street,"March 16, 1970",
25,Moulinie Building,,458–60 Jackson Street,"March 16, 1970",
26,"Bank of Lucas, Turner & Co.",,800–804 Montgomery Street,"March 16, 1970",
27,Grogan-Lent-Atherton Building,,400 Jackson Street,"March 16, 1970",
28,Old Holy Virgin Russian Orthodox Cathedral,,858–864 Fulton Street,"May 3, 1970",37°46′41″N 122°25′51″W﻿ / ﻿37.77796°N 122.430918°W﻿ / 37.77796; -122.430918﻿ (Old Holy Virgin Russian Orthodox Cathedral)
29,"Old Fire House, Engine 22",,1348 10th Avenue,"May 3, 1970",
