X,Y,Name,ADA,Address,Field_1,POINT_X,POINT_Y,Park and Ride,Rail Line,Station ID,Station Name
-87.7566977993187,41.8517811520071,54th/Cermak,ADA Accessible,2134 S. 54th Avenue,54th/Cermak,1141351.978526,1889103.780104,1,Pink,580,54th/Cermak
-87.7472268129385,42.0262517669504,Oakton-Skokie,ADA Accessible,4802 W Oakton,Oakton-Skokie,1143497.614368,1952698.681155,0,Yellow Line,1680,Oakton-Skokie
-87.7243325002513,41.8538646754276,Pulaski,ADA Accessible,2005 S. Pulaski Road,Pulaski,1150164.331558,1889923.883017,0,Pink,150,Pulaski-Douglas
-87.7085471641801,41.9297359003234,Logan Square,ADA Accessible,2620 N. Milwaukee Av,Logan Square,1154263.501098,1917602.196771,0,Blue Line,1020,Logan Square
-87.7291830521445,41.9529481226115,Irving Park,Not ADA  Accessible,4131 W. Irving Park Road,Irving Park,1148588.588581,1926020.539691,0,Blue Line,550,Irving Park-O'Hare
-87.708849574421,41.9661004713094,Kedzie,ADA Accessible,4648 N. Kedzie Avenue,Kedzie,1154084.662314,1930852.948271,0,Brown Line,1180,Kedzie-Ravenswood
-87.6786406573541,41.9664188387777,Damen,ADA Accessible,4643 N. Damen Avenue,Damen,1162299.35493,1931030.290735,0,Brown Line,90,Damen-Ravenswood
-87.6653174197458,41.8393637237933,Ashland,ADA Accessible,3011 S. Ashland Avenue,Ashland,1166283.243574,1884759.337732,0,Orange Line,1060,Ashland-Midway
-87.6594612675974,41.875893486368,Racine,Not ADA  Accessible,430 S. Racine Avenue,Racine,1167774.555959,1898083.157521,0,Blue Line,470,Racine
-87.6636153262743,41.9438201191629,Southport,ADA Accessible,3411 N. Southport Avenue,Southport,1166449.96255,1922826.818344,0,Brown Line,360,Southport
-87.6536316945234,41.9474358616316,Addison,ADA Accessible,940 W. Addison Street,Addison,1169155.598136,1924165.785385,0,Red Line,1420,Addison-North Main
-87.6728982274079,42.0190710955012,Howard,ADA Accessible,1649 W. Howard Street,Howard,1163713.080115,1950229.068353,1,"Red, Yellow, Purple, Evanston Express",900,Howard
-87.6690978871949,42.0158840559435,Jarvis,Not ADA  Accessible,1523 W. Jarvis Street,Jarvis,1164754.772276,1949075.678528,0,Red Line,1190,Jarvis
-87.6188318683217,41.8092166774229,47th,ADA Accessible,314 E. 47th Street,47th,1179041.796929,1873875.82873,0,Green Line,1080,47th-South Elevated
-87.6306420405166,41.8311984057141,Sox-35th,ADA Accessible,142 W. 35th Street,Sox-35th,1175756.53587,1881859.322113,0,Red Line,190,Sox-35th-Dan Ryan
-87.621468552778,41.8218230409244,Indiana,ADA Accessible,4003 S. Indiana Avenue,Indiana,1178284.914497,1878463.561726,0,Green Line,300,Indiana
-87.6317395846178,41.8768631883767,LaSalle/Van Buren,Not ADA  Accessible,121 W. Van Buren Street,LaSalle/Van Buren,1175321.456958,1898497.010449,0,"Brown, Orange, Pink, Purple (Express)",160,LaSalle/Van Buren
-87.6317278255993,41.8755754790277,LaSalle,Not ADA  Accessible,150 W. Congress Parkway,LaSalle,1175328.495166,1898027.796753,0,Blue Line,1340,LaSalle
-87.6293014143095,41.87819037253,Jackson,ADA Accessible,328 S. Dearborn,Jackson,1175981.497151,1898986.072337,0,Blue Line,70,Jackson/Dearborn
-87.6265956348053,41.8674128115991,Roosevelt,ADA Accessible,22 E. Roosevelt Road,Roosevelt,1176750.705983,1895064.79899,0,"Orange &amp; Green Lines",410,Roosevelt/Wabash
