X,Y,Name,AssetType,City,FID,Field_1,Lat,Link,Long,Name2,Street
-121.89109408408,37.4102823599611,Milpitas,Station,Milpitas,1,Milpitas,37.410277,"<a target=""_blank"" href=""https://www.bart.gov/stations"">https://www.bart.gov/stations</a>",-121.891081,Milpitas,S Milpitas Blvd
-121.87469384313,37.3684782891037,Berryessa/North San Jose,Station,San Jose,2,Berryessa/North San Jose,37.368473,"<a target=""_blank"" href=""https://www.bart.gov/stations"">https://www.bart.gov/stations</a>",-121.874681,Berryessa/North San Jose,Berryessa Station Way
-122.413936415216,37.7793938607629,Civic Center/UN Plaza,Station,San Francisco,3,Civic Center/UN Plaza,37.779389,"<a target=""_blank"" href=""http://www.bart.gov/stations/civc"">http://www.bart.gov/stations/civc</a>",-122.413923,Civic Center/UN Plaza,1150 Market Street
-122.02906202247,37.9738249858712,Concord,Station,Concord,4,Concord,37.97382,"<a target=""_blank"" href=""http://www.bart.gov/stations/conc"">http://www.bart.gov/stations/conc</a>",-122.029049,Concord,1451 Oakland Ave
-122.46622315595,37.6846216074975,Colma,Station,Colma,5,Colma,37.684617,"<a target=""_blank"" href=""http://www.bart.gov/stations/colm"">http://www.bart.gov/stations/colm</a>",-122.46621,Colma,365 D Street
-122.298948407196,37.9026352265033,El Cerrito Plaza,Station,El Cerrito,6,El Cerrito Plaza,37.90263,"<a target=""_blank"" href=""http://www.bart.gov/stations/plza"">http://www.bart.gov/stations/plza</a>",-122.298935,El Cerrito Plaza,6699 Fairmount Ave
-122.468911907166,37.7063332133776,Daly City,Station,Daly City,7,Daly City,37.706328,"<a target=""_blank"" href=""http://www.bart.gov/stations/daly"">http://www.bart.gov/stations/daly</a>",-122.468899,Daly City,500 John Daly Boulevard
-122.024552314249,38.0033245167978,North Concord/Martinez,Station,Concord,8,North Concord/Martinez,38.00332,"<a target=""_blank"" href=""http://www.bart.gov/stations/ncon"">http://www.bart.gov/stations/ncon</a>",-122.024539,North Concord/Martinez,3700 Port Chicago Highway
-121.976626395132,37.5574744273506,Fremont,Station,Fremont,9,Fremont,37.557469,"<a target=""_blank"" href=""http://www.bart.gov/stations/frmt"">http://www.bart.gov/stations/frmt</a>",-121.976613,Fremont,2000 Bart Way
-122.433790088383,37.7331123945196,Glen Park,Station,San Francisco,10,Glen Park,37.733107,"<a target=""_blank"" href=""http://www.bart.gov/stations/glen"">http://www.bart.gov/stations/glen</a>",-122.433777,Glen Park,2901 Diamond St
